DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2007-12,70.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-01,68.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-02,74.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-03,79.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-04,103.5,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-05,95.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-06,105.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-07,108.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-08,95.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-09,109.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-10,107.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-11,97.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2008-12,72.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-01,49.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-02,57.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-03,89.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-04,101.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-05,97.0,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-06,105.2,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-07,111.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-08,99.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-09,113.1,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-10,110.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-11,103.6,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2009-12,73.3,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2010-01,47.8,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2010-02,58.7,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2010-03,91.4,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2010-04,93.9,
ESTAT:STS_COPR_M(1.0),03/01/22 11:00:00,M,PROD,F,NSA,I15,DE,2010-05,93.7,
